id,code,variant,name,alias,category,rate_basis,k1_low,k1_high,k2_low,k2_high,k3_low,k3_high,source
2954,2954,,Museums,Museum,Public,construction,0.26,0.324,0.35,0.438,0.441,0.552,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2955,2955,,Psychiatric clinics,Klinik psikiatri,Healthcare,construction,0.853,1.067,1.152,1.44,1.451,1.814,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2961,2961,,Motor vehicle repair shops with body repair / welding / spray painting and service station,Bengkel kendaraan lengkap,Automotive,construction,1.088,1.359,1.631,2.039,2.175,2.719,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2962,2962,,Code 2961 plus petrol/diesel fuel station,Bengkel lengkap + SPBU,Automotive,construction,2.091,2.614,3.137,3.921,4.182,5.228,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2963,2963,,Motor vehicle service station only without body repair,Bengkel servis tanpa body repair,Automotive,construction,0.95,1.188,1.425,1.781,1.9,2.375,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2964,2964,,Motor vehicle pools without body repair/service station,Pool kendaraan tanpa workshop,Automotive,construction,0.981,1.226,1.472,1.84,1.962,2.453,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2965,2965,,Motor vehicle pools with service station facilities,Pool kendaraan + servis,Automotive,construction,0.998,1.247,1.497,1.871,1.996,2.495,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2966,2966,,Motor vehicle pools with body repair and service station,Pool kendaraan + body repair + servis,Automotive,construction,1.259,1.574,1.889,2.361,2.518,3.148,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2967,2967,,Motor vehicle pools with petrol/diesel fuel station,Pool kendaraan + SPBU,Automotive,construction,2.153,2.691,3.229,4.036,4.305,5.381,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2968,2968,,Motor vehicle pools with body repair/service plus petrol station,Pool kendaraan lengkap + SPBU,Automotive,construction,2.276,2.844,3.413,4.267,4.551,5.689,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2969,2969,,Rust protection / paint protection workshops,Workshop anti karat / paint protection,Automotive,construction,0.785,0.981,1.178,1.472,1.57,1.963,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2971,2971,,Apartments / condominiums / offices / car parks <= 6 storeys,Kantor / apartemen / parkir <=6 lantai,Building,construction,0.368,0.46,0.497,0.621,0.625,0.781,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2972,2972,,Apartments / condominiums / offices / car parks >6 to 18 storeys,Kantor / apartemen >6-18 lantai,Building,construction,0.385,0.481,0.52,0.65,0.655,0.818,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2973,2973,,Apartments / condominiums / offices / car parks >18 storeys,Kantor / apartemen >18 lantai,Building,construction,0.376,0.42,0.507,0.567,0.639,0.714,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2974,2974,,Convention halls and other multi purpose buildings,Gedung serbaguna / convention hall,Building,construction,0.478,0.597,0.645,0.806,0.812,1.015,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2975,2975,,Apartments / condominiums / offices / car parks >24 storeys,Kantor / apartemen >24 lantai,Building,construction,0.455,0.569,0.614,0.768,0.774,0.967,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2976,2976,,Dwelling houses not classified as shop houses <=3 storeys,Rumah tinggal <=3 lantai,Residential,construction,0.294,0.328,0.397,0.443,0.499,0.558,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29761,29761,,Dwelling house for boarding house / kos-kosan,Kos-kosan / rumah indekos,Residential,construction,0.478,0.597,0.645,0.806,0.812,1.015,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2977,2977,,Dwelling buildings floating on river/sea shore,Rumah terapung / tepi sungai-laut,Residential,construction,1.448,1.81,1.955,2.444,2.462,3.077,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2978,2978,,Independent analytical laboratories,Laboratorium analitik independen,Building,construction,1.138,1.422,1.536,1.92,1.935,2.418,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2981,2981,,Public buildings,Gedung publik,Public,construction,0.593,0.741,0.8,1.0,1.008,1.26,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2982,2982,,Police barracks and police stations,Asrama / kantor polisi,Public,construction,0.551,0.689,0.744,0.93,0.937,1.171,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2983,2983,,Military Barracks,Asrama militer,Public,construction,2.154,2.692,2.908,3.635,3.662,4.577,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2984,2984,,Property of public bodies - Others,Properti badan publik lainnya,Public,construction,2.253,2.816,3.041,3.802,3.83,4.787,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2991,2991,,Buildings in course of construction,Bangunan dalam konstruksi,Construction,construction,0.585,0.732,0.878,1.097,1.17,1.463,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
200,200,,Mining of precious metal incl. smelting/refining,Tambang logam mulia,Pertambangan,construction,0.49,0.613,0.735,0.919,0.98,1.225,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
201,201,,Mining of aluminium incl. smelting/refinery,Tambang aluminium,Pertambangan,construction,0.8,1.0,1.2,1.5,1.6,2.0,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2041,2041,,"Exploration and Production for Crude Petroleum, on shore only",Eksplorasi/produksi minyak mentah onshore,Oil & Gas,single,2.915,3.644,2.915,3.644,2.915,3.644,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2042,2042,,"Crude Petroleum Pipe Lines incl. pump station, on shore only",Pipa minyak mentah onshore,Oil & Gas,single,1.635,2.044,1.635,2.044,1.635,2.044,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2043,2043,,"Exploration and Production for Natural Gas and geothermal, on shore",Eksplorasi/produksi gas/geothermal onshore,Oil & Gas,single,2.702,3.378,2.702,3.378,2.702,3.378,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2044,2044,,"Natural Gas Transmission and distribution incl. geothermal, on shore",Transmisi/distribusi gas/geothermal onshore,Oil & Gas,single,2.489,3.111,2.489,3.111,2.489,3.111,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2045,2045,,Terminal for crude oil,Terminal minyak mentah,Oil & Gas,single,1.849,2.311,1.849,2.311,1.849,2.311,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2046,2046,,Terminals for Liquefied Gases,Terminal gas cair,Oil & Gas,single,2.275,2.844,2.275,2.844,2.275,2.844,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2047,2047,,Other petroleum and gas products,Produk petroleum/gas lainnya,Oil & Gas,single,3.2,4.0,3.2,4.0,3.2,4.0,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2048,2048,,Degasification Stations,Stasiun degasifikasi,Oil & Gas,single,2.062,2.578,2.062,2.578,2.062,2.578,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2049,2049,,Off shore Facilities,Fasilitas offshore,Oil & Gas,single,2.987,3.733,2.987,3.733,2.987,3.733,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
206,206,,Foundries / reduction plants for metals excl. iron/aluminium/precious metal,Smelter logam lainnya,Pertambangan,construction,0.754,0.942,1.13,1.413,1.507,1.884,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2141,2141,,Porcelain/ceramic factories with tunnel kilns only,Pabrik keramik - tunnel kiln,Industri,construction,0.748,0.935,1.122,1.402,1.496,1.87,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2142,2142,,Porcelain/ceramic factories with other kiln,Pabrik keramik - kiln lainnya,Industri,construction,0.65,0.813,0.976,1.22,1.301,1.626,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2151,2151,,Glass container / pressed & blown glass,Pabrik botol/kaca cetak,Industri,construction,1.834,2.292,2.75,3.438,3.667,4.584,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2152,2152,,Flat glass incl. tempered,Pabrik kaca lembaran/tempered,Industri,construction,1.594,1.993,2.392,2.99,3.189,3.986,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2158,2158,,Glass works mixed,Pabrik kaca campuran,Industri,construction,2.073,2.591,3.109,3.886,4.145,5.182,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
216,216,,Glass products made of purchased glass,Produk kaca dari kaca jadi,Industri,construction,2.052,2.566,2.771,3.463,3.489,4.361,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
217,217,,Precious stone workshops and processing plant,Workshop batu mulia,Industri,construction,0.375,0.469,0.506,0.633,0.637,0.797,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
218,218,,Emery and abrasive materials factories,Pabrik bahan abrasif,Industri,construction,2.717,3.396,3.667,4.584,4.618,5.773,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
219,219,,Tarcoated chippings / asphalt & roofing felt factories,Pabrik aspal/roofing felt,Industri,construction,3.124,3.905,4.686,5.858,6.249,7.811,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2201,2201,,Sheet rolling/foil/forging/locksmith/constructional metalworks,Rolling/forging/metalworks,Industri,construction,0.584,0.731,0.877,1.096,1.169,1.461,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2202,2202,,Metal product from metal powder / forging / pressing,Metalurgi bubuk/forging,Industri,construction,1.801,2.251,2.701,3.377,3.602,4.502,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2203,2203,,Metalworks mixed,Metalworks campuran,Industri,construction,1.241,1.551,1.861,2.326,2.481,3.102,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
